"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Afghanistan","AFG","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","308406.5","94761.12","27577849.86","47084262.04","10738034.5335198","10944020.3116408","107890.10906887","242475.541833949","36802.95","180660.399927953","2402430.87491251","4778790.72133592","6111813.8157338","","","",
"Africa Western and Central","AFW","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.91619197976168","5.06319679731775","3.81101259760826","4.72707114525838","5.60288715670968","5.46371124231537","","","","",
"Africa Western and Central","AFW","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","753176509","956854682","385426103","448889474","387158469","491005345","","","","",
"Africa Western and Central","AFW","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1644.63453959234","1760.23249477238","1786.24430323058","1834.95386756819","1776.33218222457","1868.87534834432","2095.6","2297.62","2473.37","2916.39","3207.08","3501.4","3770.68","4429.65","4817.14","5303.5","5182.34","5358.9","6028.27","6203.57","6932.74","7725.29","9193.42","10694.07","12958.7","","","",
"Africa Western and Central","AFW","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.151699395451419","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","41544.686682381","46660.7468989429","41849.6727980134","40703.405884923","44315.2683454892","94019.5816431892","94661.3124054691","22333572.983764","10643797.1740831","7925614.74046772","8628503.09981687","912605.832284441","1963581.88821057","865119.364919978","1142769.84065489","1504663.04723273","1762989.63816211","1308601.1641066","14324879.6176816","1247594.96986943","1228744.24588109","1272432.99464197","366071.378418687","595792.364569889","71788.6974658794","3352321.67087245","2479276.25885428","350001.64605324","887876.728217688","634631.381073454","1439619.4701463","801048.950258312","491936.053197174","1021741.58907344","2570892.27326474","2707809.79758951","3506795.80089912","3900282.89996167","5551862.70189208","6513644.7458588","10149433.3045863","8572491.63501025","9240538.56657786","6365730.12374979","112807609.933521","85700848.05989","55468399.277495","21103979.4455847","29954405.6936971","38331.4112757502",
